origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-25,ARI incidence,2026-03-01,2,FR,quantile,0.05,129.5875
2026-02-25,ARI incidence,2026-03-08,3,FR,quantile,0.05,108.73596
2026-02-25,ARI incidence,2026-03-15,4,FR,quantile,0.05,97.78486
2026-02-25,ARI incidence,2026-02-22,1,HU,quantile,0.05,2549.882
2026-02-25,ARI incidence,2026-03-01,2,HU,quantile,0.05,2410.4795
2026-02-25,ARI incidence,2026-03-08,3,HU,quantile,0.05,2177.0188
2026-02-25,ARI incidence,2026-03-15,4,HU,quantile,0.05,1767.2867
2026-02-25,ARI incidence,2026-02-22,1,IE,quantile,0.05,54.621254
2026-02-25,ARI incidence,2026-03-01,2,IE,quantile,0.05,49.848152
2026-02-25,ARI incidence,2026-03-08,3,IE,quantile,0.05,44.574196
2026-02-25,ARI incidence,2026-03-15,4,IE,quantile,0.05,42.186996
2026-02-25,ARI incidence,2026-02-22,1,IS,quantile,0.05,62.735294
2026-02-25,ARI incidence,2026-03-01,2,IS,quantile,0.05,58.051926
2026-02-25,ARI incidence,2026-03-08,3,IS,quantile,0.05,54.914085
2026-02-25,ARI incidence,2026-03-15,4,IS,quantile,0.05,51.723946
2026-02-25,ARI incidence,2026-02-22,1,IT,quantile,0.05,665.2511
2026-02-25,ARI incidence,2026-03-01,2,IT,quantile,0.05,578.56793
2026-02-25,ARI incidence,2026-03-08,3,IT,quantile,0.05,527.6567
2026-02-25,ARI incidence,2026-03-15,4,IT,quantile,0.05,495.62268
2026-02-25,ARI incidence,2026-02-22,1,LT,quantile,0.05,882.59644
2026-02-25,ARI incidence,2026-03-01,2,LT,quantile,0.05,831.0867
2026-02-25,ARI incidence,2026-03-08,3,LT,quantile,0.05,787.76465
2026-02-25,ARI incidence,2026-03-15,4,LT,quantile,0.05,736.9619
2026-02-25,ARI incidence,2026-02-22,1,LU,quantile,0.05,11167.414
2026-02-25,ARI incidence,2026-03-01,2,LU,quantile,0.05,10346.878
2026-02-25,ARI incidence,2026-03-08,3,LU,quantile,0.05,9803.883
2026-02-25,ARI incidence,2026-03-15,4,LU,quantile,0.05,9418.633
2026-02-25,ARI incidence,2026-02-22,1,LV,quantile,0.05,1328.0781
2026-02-25,ARI incidence,2026-03-01,2,LV,quantile,0.05,1289.3531
2026-02-25,ARI incidence,2026-03-08,3,LV,quantile,0.05,1170.7122
2026-02-25,ARI incidence,2026-03-15,4,LV,quantile,0.05,986.7687
2026-02-25,ARI incidence,2026-02-22,1,NL,quantile,0.05,59.701538
2026-02-25,ARI incidence,2026-03-01,2,NL,quantile,0.05,46.889725
2026-02-25,ARI incidence,2026-03-08,3,NL,quantile,0.05,43.770264
2026-02-25,ARI incidence,2026-03-15,4,NL,quantile,0.05,34.01912
2026-02-25,ARI incidence,2026-02-22,1,PT,quantile,0.05,0.0
2026-02-25,ARI incidence,2026-03-01,2,PT,quantile,0.05,0.0
2026-02-25,ARI incidence,2026-03-08,3,PT,quantile,0.05,0.0
2026-02-25,ARI incidence,2026-03-15,4,PT,quantile,0.05,0.0
2026-02-25,ARI incidence,2026-02-22,1,RO,quantile,0.05,648.43604
2026-02-25,ARI incidence,2026-03-01,2,RO,quantile,0.05,589.6281
2026-02-25,ARI incidence,2026-03-08,3,RO,quantile,0.05,577.13776
2026-02-25,ARI incidence,2026-03-15,4,RO,quantile,0.05,609.478
